name,address,phone
Mariscos Costa del Pacifico,"Calle Marlin 1173, Los Delfines San Antonio del Mar, 22560 Playas de Rosarito, B.C., Mexico",+52 664 974 8416
Plan B,"San Antonio del Mar, 22566 Tijuana, B.C., Mexico",
The brunch Rto 2023,"Calle Miguel Hidalgo y costilla 22706, Plan Libertador, 22706 Playas de Rosarito, B.C., Mexico",+52 661 100 4718
Mariscos el Tiburón,"Calle, Lázaro Cárdenas del Río 4, Plan Libertador, 22710 Playas de Rosarito, B.C., Mexico",+52 664 340 9548
"Tacos ""El retorno""","Av. Derecho Agrario Manzana 14-Lote 18, Ejido Lazaro Cardenas, 22510 Tijuana, B.C., Mexico",
Liz Gracián Extensiones Y Salón,"C. Bolaños Cacho, 22170 San Luis, B.C., Mexico",
Asadero Campestre La Marquesa,"Corredor Tijuana - Rosarito 2000 km 22, 22125 Tijuana, B.C., Mexico",+52 663 101 0296
Barbacoa Blvd 2000,"Corredor Tijuana - Rosarito 2000 Km 21.5, Cuero de Venados, 22160 Tijuana, B.C., Mexico",+52 664 774 0310
Rancho El Indio,"B.C, Corredor Tijuana - Rosarito 2000, Río Tijuana 3a. Etapa, 22250 B.C., Mexico",
CAFFENIO Corredor 2000,"Camino Vecinal #20402, Río Tijuana 3a. Etapa, 22250 Tijuana, B.C., Mexico",+52 800 223 3364
Dinozastre Park Plaza,"Calle Miguel Hidalgo 110A, La Gloria, 22645 La Joya, B.C., Mexico",+52 664 700 3377
Salon Jardines Del Rey,"Calle Miguel Hidalgo 262, La Gloria, 22645 La Joya, B.C., Mexico",+52 664 156 9094
El Gran barbershop,"El Tecolote Segunda Secc, 22644 Tijuana, Baja California, Mexico",+52 664 817 7570
Pitbulls Barbershop,"22170 Tijuana, Baja California, Mexico",
Salón Jardín Sandra’s,"C3W7+VQ, 22125 Tijuana, Baja California, Mexico",+52 664 253 3094
Jardin de Eventos La Encantada,"La Encantada, Lomas de la Presa, 22125 Tijuana, B.C., Mexico",+52 664 364 8569
Celys Gardens events,"Peña del Aguila 11064, Lomas de la Presa, 22125 Tijuana, B.C., Mexico",+52 16643293250
Quinta La Presa Jardín & Terraza,"Presa Cuauhtémoc y o Benito Juárez 520, Presa Rodriguez, 22124 Tijuana, B.C., Mexico",+52 664 119 6684
Salón de Eventos La Encantada,"Av Terrazas 8, Terrazas de la Presa Sección Vistas, 22124 Tijuana, B.C., Mexico",
Nikan Axkan Baja California,"FW82+24, 22557 La Esperanza Granjas Familiares, Baja California, Mexico",
Biker Burguer Artesanal,"Blvd. Francisco Zarco, Verona Residencial, 22667 B.C., Mexico",+52 664 188 2675
Tacos El Kike,"22647, Av. Panamericana 9820, Panamericano, 22647 Tijuana, Baja California, Mexico",+52 664 154 3748
Pollos Sinaloa,"Av. Paseo Reforma 26, Reforma, 22180 Tijuana, B.C., Mexico",+52 664 626 4091
Madre Mia Restaurante,"Blvd. Gustavo Díaz Ordaz 17261-Local 3 y 4, Jardines de La Mesa, 22126 Tijuana, B.C., Mexico",+52 664 912 7523
Menuderia Los Dos Potrillos,"Av. México Lindo 84, Mexico Lindo, 22126 Tijuana, B.C., Mexico",+52 664 660 8179
El Mitote Night Club,"Blvd. Gustavo Díaz Ordaz 16, Paseo Los Reyes, 22125 Tijuana, B.C., Mexico",
Carl's Jr,"22237 Tijuana, Baja California, Mexico",
SE PUNTA BANDERA,"22557 Tijuana, Baja California, Mexico",
Flamingos Eventos,"22034, Planetario, 22034 Tijuana, B.C., Mexico",
NINO'S PIZZA,"Milton Castellanos 5202, Luisecheverria, 22640 Tijuana, B.C., Mexico",+52 664 635 9170
Ruta Uno Café y Pizza,"Lib. Sur 6237, Jardines de Agua Caliente, 22194 Tijuana, B.C., Mexico",+52 664 977 8473
Aguachiles el pollo culichi,"Camino Verde, 22190 Tijuana, Baja California, Mexico",+52 664 520 0395
Las Tablas,"P.º del Río 6617, Río Tijuana 3a. Etapa, Rio Tijuana 3ra Etapa, 22226 Tijuana, B.C., Mexico",+52 664 208 7487
Centro De Salud Mariano Matamoros,"Ruta Mariano Matamoros 9004, Matamoros Norte-Centro-Sur, Mariano Matamoros, 22234 Tijuana, B.C., Mexico",+52 664 971 2249
El Meson de Playas,"Moscú 3717, Playas de Tijuana, Costa Azul, 22506 Tijuana, B.C., Mexico",+52 664 382 9724
Nocturno Community,"P.º Ensenada 2033, Playas de Tijuana, Costa Hermosa, 22506 Tijuana, B.C., Mexico",+52 664 973 3452
Salon De Eventos Sociales el Rey Del Mar,"P.º Playas de Tijuana 3571, Playas de Tijuana, Costa Azul, 22506 Tijuana, B.C., Mexico",+52 664 245 6618
Kairi Ramen,"P.º Playas de Tijuana 3211, Playas de Tijuana, Costa Hermosa, 22506 Tijuana, B.C., Mexico",+52 664 891 4728
Kids Salon de Eventos,"P.º del Pedregal 2728, Playas de Tijuana, playas de Tijuana, 22506 Tijuana, B.C., Mexico",+52 663 428 9509
Lupita OQQ,"4ta Seul 1988 3908, Monte Solimpicos, 22600 Tijuana, B.C., Mexico",
Ready To Go Fashion Inc,"Del Roble 3717, Cd Jardin, 22610 Tijuana, B.C., Mexico",+52 664 179 4040
"Eunime By Tijuana, B.C.","Veracruz 3333, El Cortez, 22600 Tijuana, B.C., Mexico",+52 664 906 5494
